"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"75",22930374010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,369.374008533626,123,NA,32
"76",22930381010497,2008,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,9716.44367741043,63,NA,170
"77",22930384010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1901.07809674049,66,125,111
"78",22931748010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,6430.56864859057,63,NA,122
"79",22931759010497,2008,0,12,48,"True fir","Woodland hardwoods","Forest Service",10,2753.40389334943,60,NA,142
"80",22931774010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2731.69669477023,86,NA,99
"81",22931775010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1733.52440387125,79,218,90
"82",22931779010497,2008,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,3906.95383723972,64,323,122
"83",22931784010497,2008,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,2307.40896900985,40,86,75
"84",22931785010497,2008,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,545.33012210671,47,NA,45
"85",22931788010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Other Federal",20,2737.12199466653,79,NA,71
"86",22931802010497,2008,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Other Federal",20,801.434560314262,73,NA,61
"87",22931807010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,166.848733208298,74,NA,50
"88",22931813010497,2008,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,2505.98057357208,66,237,104
"89",22931835010497,2008,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,3313.62146608322,38,160,110
"90",22931844010497,2008,0,24,44,"Other western softwoods","Cottonwood and aspen","Other Federal",20,1981.96101586582,96,NA,53
"91",22931845010497,2008,0,12,NA,"True fir",NA,"Forest Service",10,9923.85829762555,58,NA,134
