"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"49",22930220010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,19122.4222086611,64,NA,156
"50",22930223010497,2008,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,12977.3328948124,69,NA,176
"51",22930228010497,2008,0,12,20,"True fir","Incense-cedar","Private and Native American",40,4065.01027839242,48,NA,99
"52",22930235010497,2008,0,12,21,"True fir","Lodgepole pine","Private and Native American",40,4978.68032853974,74,NA,122
"53",22930252010497,2008,0,12,14,"True fir","Sugar pine","Forest Service",10,2527.95159229997,33,NA,75
"54",22952991010497,2007,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,1981.99706986164,123,NA,134
"55",22953350010497,2007,0,20,10,"Incense-cedar","Douglas-fir","Private and Native American",40,13539.6240202004,71,NA,117
"56",22953360010497,2007,0,10,46,"Douglas-fir","Oak","Forest Service",10,12192.9088266544,56,NA,166
"57",22953361010497,2007,0,12,14,"True fir","Sugar pine","Private and Native American",40,4646.77761456493,66,67,90
"79",29394789010497,2008,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,5990.73101506916,70,NA,141
"80",29880301010497,2009,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2259.85042241401,122,NA,67
"81",29880386010497,2009,0,14,11,"Sugar pine","Ponderosa and Jeffrey pines","Private and Native American",40,280.987809458066,53,NA,42
"82",29880474010497,2009,0,10,14,"Douglas-fir","Sugar pine","Private and Native American",40,9133.7554975068,63,52,74
"83",29880548010497,2009,0,14,10,"Sugar pine","Douglas-fir","Private and Native American",40,1964.62592276209,33,253,133
"84",29880550010497,2009,0,12,NA,"True fir",NA,"Forest Service",10,9733.14805626977,36,NA,142
"85",30762330020004,2012,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1529.90241841998,114,NA,84
"86",30762331020004,2012,0,21,NA,"Lodgepole pine",NA,"Forest Service",10,1679.31755752218,80,223,109
"87",30762332020004,2012,0,12,21,"True fir","Lodgepole pine","Forest Service",10,6100.87808674396,72,56,102
"88",30762435020004,2012,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,2196.23971725109,32,NA,57
"89",30762530020004,2012,0,46,11,"Oak","Ponderosa and Jeffrey pines","State and local government",30,1805.19505585073,132,NA,61
"90",30762531020004,2012,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,6996.32023388921,143,NA,154
"91",40224618010497,2010,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,1621.80698285674,53,112,99
"92",40224622010497,2010,0,10,46,"Douglas-fir","Oak","Forest Service",10,7592.57577080959,67,NA,129
