"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"34",22930246010497,2008,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,10182.3445580695,72,NA,172
"35",22930247010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,6299.99314775515,58,NA,45
"36",22930248010497,2008,0,21,12,"Lodgepole pine","True fir","Forest Service",10,3165.04376815622,56,248,101
"37",22930253010497,2008,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,343.468748837506,112,31,55
"38",22930264010497,2008,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1251.56455735939,34,NA,105
"39",22930272010497,2008,0,12,10,"True fir","Douglas-fir","Forest Service",10,8580.28104685442,62,NA,167
"40",22930274010497,2008,0,12,NA,"True fir",NA,"Forest Service",10,6662.01746267936,38,NA,97
"41",22953248010497,2007,0,12,14,"True fir","Sugar pine","Forest Service",10,2615.11559868051,33,NA,95
"42",22953250010497,2007,0,10,12,"Douglas-fir","True fir","Forest Service",10,4196.12797104527,48,NA,121
"43",22953251010497,2007,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1894.8452898537,87,NA,88
"44",22953254010497,2007,0,12,15,"True fir","Western white pine","Forest Service",10,10448.7861712237,38,NA,154
"45",22953255010497,2007,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,1112.0792807562,60,NA,51
"46",22953283010497,2007,0,46,10,"Oak","Douglas-fir","Forest Service",10,2466.94559623701,48,NA,45
"47",22953284010497,2007,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,300.122603087964,99,16,20
"48",22953364010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,8599.28882350442,63,83,117
"49",22953368010497,2007,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2181.98667941147,109,38,65
"78",29880549010497,2009,0,12,21,"True fir","Lodgepole pine","Forest Service",10,9117.0004037785,40,NA,134
"79",29880562010497,2009,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,5748.10159375157,74,173,148
"80",29880567010497,2009,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,7835.46140087725,74,NA,131
"81",29880568010497,2009,0,12,NA,"True fir",NA,"Forest Service",10,1896.20275810347,61,NA,55
