"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"44",22930294010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,4099.79534185641,62,NA,91
"45",22930313010497,2008,0,10,46,"Douglas-fir","Oak","Forest Service",10,5665.29526369582,57,NA,151
"46",22930317010497,2008,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1521.66082119212,53,143,58
"47",22930339010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,6861.33649353511,52,NA,58
"48",22930365010497,2008,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3752.84545173713,68,NA,109
"49",22930366010497,2008,0,12,20,"True fir","Incense-cedar","Private and Native American",40,5131.89726830161,42,233,139
"50",22930372010497,2008,0,46,24,"Oak","Other western softwoods","Forest Service",10,234.081006508882,77,NA,34
"51",22930392010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,14964.899286232,57,NA,142
"52",22931721010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1650.79034657717,46,NA,73
"53",22953289010497,2007,0,46,10,"Oak","Douglas-fir","Forest Service",10,2226.20974738946,68,NA,56
"54",22953386010497,2007,0,10,12,"Douglas-fir","True fir","Forest Service",10,3618.52962721002,59,NA,154
"55",22953388010497,2007,0,10,46,"Douglas-fir","Oak","Forest Service",10,8112.32203993813,43,NA,149
"56",22953393010497,2007,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,17086.3385578551,64,NA,121
"57",22953404010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1411.23764844138,22,NA,56
"58",22953409010497,2007,0,12,20,"True fir","Incense-cedar","Forest Service",10,10818.4439268336,51,NA,139
"59",22953432010497,2007,0,12,NA,"True fir",NA,"Forest Service",10,3151.87216255083,23,NA,96
"60",22953439010497,2007,0,10,46,"Douglas-fir","Oak","Private and Native American",40,1155.73845449748,50,44,55
"61",22953461010497,2007,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,9675.98565433026,65,NA,144
"93",29394808010497,2008,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,8722.70559960753,60,NA,181
"94",29394810010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,7870.98446811078,65,NA,84
"95",29880882010497,2009,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,6912.44834604278,43,NA,54
"96",29880958010497,2009,0,10,46,"Douglas-fir","Oak","Forest Service",10,5484.39694618052,62,108,131
"97",29881112010497,2009,0,46,NA,"Oak",NA,"Other Federal",20,81.937610028628,106,NA,42
"98",29881185010497,2009,0,11,10,"Ponderosa and Jeffrey pines","Douglas-fir","Private and Native American",40,25.028132552962,71,NA,20
"99",29881193010497,2009,0,11,10,"Ponderosa and Jeffrey pines","Douglas-fir","Forest Service",10,7449.47916331378,90,NA,132
"100",29881260010497,2009,0,12,20,"True fir","Incense-cedar","Forest Service",10,9320.16090719402,60,406,166
"101",29881279010497,2009,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,125.90381117807,105,12,24
"102",29881339010497,2009,0,12,14,"True fir","Sugar pine","Forest Service",10,11141.2786100131,44,NA,138
"103",30763165020004,2012,0,12,NA,"True fir",NA,"Forest Service",10,2400.97004106586,53,NA,120
"104",30763166020004,2012,0,12,21,"True fir","Lodgepole pine","Forest Service",10,6008.76597789146,62,NA,132
"105",30763167020004,2012,0,12,14,"True fir","Sugar pine","Private and Native American",40,4791.17898650408,53,NA,125
"106",30763169020004,2012,0,12,14,"True fir","Sugar pine","Private and Native American",40,11571.7530663307,58,357,123
"107",30763171020004,2012,0,14,11,"Sugar pine","Ponderosa and Jeffrey pines","Private and Native American",40,2358.25971815965,35,90,58
"108",30763172020004,2012,0,46,20,"Oak","Incense-cedar","Private and Native American",40,627.162936718936,60,NA,36
"109",30763175020004,2012,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,2535.19373020926,59,55,74
