"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"46",22930262010497,2008,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,14438.1771502506,77,217,170,342.664479267667,"butte"
"47",22930269010497,2008,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,5988.2054187298,67,NA,91.7692307692308,NA,"butte"
"48",22930288010497,2008,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,11541.6285552427,57,NA,86.6153846153846,NA,"butte"
"49",22930291010497,2008,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,17082.1891254227,82,47,73.8333333333333,NA,"butte"
"50",22930309010497,2008,0,12,46,"True fir","Oak","Private and Native American",40,4307.98121415985,93,38,60,28.3432677622937,"butte"
"51",22930314010497,2008,0,46,10,"Oak","Douglas-fir","Private and Native American",40,2363.38127893176,54,NA,37.875,26.7593778598393,"butte"
"52",22930315010497,2008,0,47,46,"Other western hardwoods","Oak","Private and Native American",40,5186.39537199601,101,NA,62.1428571428571,NA,"butte"
"53",22930334010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4387.74139807049,82,45.6666666666667,83.1764705882353,51.2091089170478,"butte"
"54",22953247010497,2007,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,1267.83185154915,42,113.6,48,56.5067752641969,"butte"
"55",22953258010497,2007,0,46,20,"Oak","Incense-cedar","Forest Service",10,4069.03132259736,46,NA,56,75.8095682354565,"butte"
"56",22953372010497,2007,0,10,46,"Douglas-fir","Oak","Private and Native American",40,2360.72933673822,50,87,84.1428571428571,88.5028569961835,"butte"
"57",22953383010497,2007,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2852.30742590016,125,NA,74,21.6404974799939,"butte"
"58",22953390010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,2073.15955520208,61,44,54.7142857142857,42.2028573173406,"butte"
"59",22953428010497,2007,0,46,10,"Oak","Douglas-fir","Private and Native American",40,3973.04835857111,60,NA,68.7142857142857,65.7586668348851,"butte"
"60",22953434010497,2007,0,12,14,"True fir","Sugar pine","Forest Service",10,13018.8730255914,74,93.5714285714286,120.121212121212,NA,"butte"
"84",29880649010497,2009,0,47,14,"Other western hardwoods","Sugar pine","Forest Service",10,10419.8920116553,73,NA,51.4,NA,"butte"
"85",29880815010497,2009,0,46,47,"Oak","Other western hardwoods","Forest Service",10,4507.71925208126,70,NA,52.3,30.0018913861108,"butte"
"86",29880884010497,2009,0,12,14,"True fir","Sugar pine","Forest Service",10,7019.06753452455,35,138.363636363636,109.904761904762,NA,"butte"
"87",29880955010497,2009,0,20,12,"Incense-cedar","True fir","Forest Service",10,7462.30913594186,59,60,53.7142857142857,NA,"butte"
"88",29881036010497,2009,0,10,24,"Douglas-fir","Other western softwoods","Private and Native American",40,4317.9213545826,65,88.6666666666667,99.5,84.3207976296214,"butte"
"89",30763864020004,2012,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2325.79399760291,81,NA,49.2,22.0127651941077,"butte"
"90",30763866020004,2012,0,46,10,"Oak","Douglas-fir","Other Federal",20,7452.16508994452,53,NA,50.5454545454545,45.6426120970605,"butte"
"91",30764040020004,2012,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,13293.8368271395,81,98.4285714285714,156.4,141.325702251935,"butte"
"92",30764041020004,2012,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,2423.08117188759,63,67.25,50.5714285714286,NA,"butte"
"93",30764042020004,2012,0,12,NA,"True fir",NA,"Forest Service",10,5499.65785628543,46,89.2307692307692,74.6857142857143,NA,"butte"
"94",30764043020004,2012,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,93.188521548962,119,NA,24.5,6.32005226494285,"butte"
"95",40218558010497,2010,0,47,10,"Other western hardwoods","Douglas-fir","Private and Native American",40,5453.93327162508,92,NA,31.3,NA,"butte"
"96",40218571010497,2010,0,11,47,"Ponderosa and Jeffrey pines","Other western hardwoods","Forest Service",10,791.274359063646,125,17.2,40.75,11.4295292952687,"butte"
"97",40218599010497,2010,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,344.543531194824,53,15,25.6,25.6165616401807,"butte"
"98",40218623010497,2010,0,12,21,"True fir","Lodgepole pine","Forest Service",10,1449.7424272584,24,97.4,72.7777777777778,NA,"butte"
"99",44540947020004,2013,0,46,10,"Oak","Douglas-fir","Private and Native American",40,564.565677589704,75,NA,66.6666666666667,40.2971500478343,"butte"
"100",44540956020004,2013,0,47,46,"Other western hardwoods","Oak","Forest Service",10,13557.6843492404,72,NA,38.625,NA,"butte"
"101",44541188020004,2013,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,750.05655087067,119,NA,NA,NA,"butte"
"102",44541432020004,2013,0,12,21,"True fir","Lodgepole pine","Private and Native American",40,3623.91844138998,59,44.875,58.1,48.7303255706,"butte"
"103",44542950020004,2013,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,3941.18231845621,88,NA,40.6363636363636,15.2278928375134,"butte"
"104",48202845010497,2011,0,46,20,"Oak","Incense-cedar","Private and Native American",40,6053.38145190003,65,NA,58.9090909090909,41.6338068489973,"butte"
"105",48203637010497,2011,0,46,10,"Oak","Douglas-fir","Private and Native American",40,1844.84870654407,68,NA,39.4,20.3330130105492,"butte"
"106",48203638010497,2011,0,47,46,"Other western hardwoods","Oak","Forest Service",10,8981.22672611666,80,NA,76.1,NA,"butte"
"107",48204070010497,2011,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,1055.09083301795,110,87,96.1666666666667,41.5712533440088,"butte"
"108",48204100010497,2011,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,10537.1178941637,61,76.5,100.571428571429,90.2997324580671,"butte"
"109",48205389010497,2011,0,46,20,"Oak","Incense-cedar","Forest Service",10,4770.01630118546,109,NA,43.5833333333333,12.9456774539563,"butte"
"110",216958686020004,2014,0,46,20,"Oak","Incense-cedar","Private and Native American",40,2963.61612913922,43,NA,25.3333333333333,19.9345867811674,"butte"
"111",216959088020004,2014,0,47,14,"Other western hardwoods","Sugar pine","Forest Service",10,13222.6279565387,77,NA,62.3333333333333,NA,"butte"
"112",216959583020004,2014,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,4401.58292473352,108,NA,47.5,14.5372211733378,"butte"
"113",216959624020004,2014,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,1853.98354855866,113,NA,50.8235294117647,14.9936985707391,"butte"
"114",216959657020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,3430.19402353528,124,NA,37.3333333333333,9.45863804020125,"butte"
"115",216959820020004,2014,0,47,46,"Other western hardwoods","Oak","Private and Native American",40,9625.51085273704,80,NA,72.3714285714286,NA,"butte"
"116",216960510020004,2014,0,11,47,"Ponderosa and Jeffrey pines","Other western hardwoods","Private and Native American",40,325.721937349292,78,12,34.8333333333333,21.2790551269676,"butte"
"117",216960716020004,2014,0,12,10,"True fir","Douglas-fir","Forest Service",10,6898.41661221414,84,49.8333333333333,85.7307692307692,51.7473870524115,"butte"
"118",216961372020004,2014,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,1860.68693352095,151,NA,57.25,12.429595520596,"butte"
"119",273640009489998,2015,0,10,12,"Douglas-fir","True fir","Private and Native American",40,3660.05511413478,76,64,96.75,67.7329218037037,"butte"
"120",273640317489998,2015,0,47,20,"Other western hardwoods","Incense-cedar","Forest Service",10,12537.9207331813,119,NA,102.5625,NA,"butte"
"121",273641010489998,2015,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,1164.71488099208,104,72.3333333333333,58.3125,24.3797118048292,"butte"
"122",273641183489998,2015,0,46,NA,"Oak",NA,"Private and Native American",40,452.620958812428,65,NA,29.2,14.2547976824379,"butte"
"123",273641213489998,2015,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Forest Service",10,7470.69757828857,81,72,71.9411764705882,43.5526855645805,"butte"
"124",273641911489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,3235.17644809803,106,NA,42.8333333333333,13.0829575937831,"butte"
"125",273641912489998,2015,0,46,10,"Oak","Douglas-fir","Private and Native American",40,2291.07944246545,38,NA,25.2142857142857,23.7392890144133,"butte"
"126",273642075489998,2015,0,12,NA,"True fir",NA,"Forest Service",10,7301.88498606794,43,94.2,90.0357142857143,NA,"butte"
"127",273642233489998,2015,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,6236.99918060013,56,NA,105.6,NA,"butte"
"128",273642393489998,2015,0,46,10,"Oak","Douglas-fir","Forest Service",10,4441.22449127126,80,NA,54.2142857142857,25.883244788331,"butte"
"129",345933872489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,14568.7705598358,60,68,88.2222222222222,77.1863999680865,"butte"
"130",345934386489998,2016,0,47,11,"Other western hardwoods","Ponderosa and Jeffrey pines","Private and Native American",40,6732.09229239224,116,NA,78.1111111111111,NA,"butte"
"131",345935174489998,2016,0,12,NA,"True fir",NA,"Forest Service",10,12933.5073545957,86,71.8421052631579,90.5952380952381,54.7212079809575,"butte"
"132",345935509489998,2016,0,12,46,"True fir","Oak","Forest Service",10,6247.81950172163,61,44,119.375,NA,"butte"
"133",345935510489998,2016,0,20,12,"Incense-cedar","True fir","Forest Service",10,11686.1611470112,88,100.5,77.3571428571429,NA,"butte"
"134",412219900489998,2017,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1866.87528887212,113,NA,38.625,10.8046676815303,"butte"
"135",412220907489998,2017,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4289.67298116446,61,61,70.8125,67.3713161417777,"butte"
"136",412221079489998,2017,0,46,20,"Oak","Incense-cedar","Forest Service",10,6489.28822270121,46,NA,55,72.7946654627125,"butte"
"137",412221168489998,2017,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,1640.53835988191,42,156.666666666667,48.1538461538462,56.6765575100845,"butte"
"138",412221858489998,2017,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2869.86373152868,125,NA,63.5,17.6116439737572,"butte"
"139",412222258489998,2017,0,46,24,"Oak","Other western softwoods","State and local government",30,1924.34554275534,124,NA,52.8571428571429,14.1143911855578,"butte"
"140",412222412489998,2017,0,46,10,"Oak","Douglas-fir","Private and Native American",40,0,60,NA,NA,NA,"butte"
"141",412222414489998,2017,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,3563.06139804781,66,NA,55.6666666666667,36.6757356405716,"butte"
"142",412222518489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,13580.3722574199,74,107.857142857143,124.176470588235,NA,"butte"
"143",484816389489998,2018,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,104.874333181532,81,NA,12.85,4.39642894379472,"butte"
"144",484816391489998,2018,0,12,46,"True fir","Oak","Private and Native American",40,6538.0265990629,88,48,69.6875,35.9169330428342,"butte"
