"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"49",22930220010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,19122.4222086611,64,104.5,121.133333333333,NA,"nevada"
"50",22930223010497,2008,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,12977.3328948124,69,89.5,151.642857142857,201.842244788359,"nevada"
"51",22930228010497,2008,0,12,20,"True fir","Incense-cedar","Private and Native American",40,4065.01027839242,48,65,61,90.6320692755945,"nevada"
"52",22930235010497,2008,0,12,21,"True fir","Lodgepole pine","Private and Native American",40,4978.68032853974,74,113,85.1666666666667,65.7037265614954,"nevada"
"53",22930252010497,2008,0,12,14,"True fir","Sugar pine","Forest Service",10,2527.95159229997,33,72,52.7272727272727,NA,"nevada"
"54",22952991010497,2007,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,1981.99706986164,123,101,126.666666666667,52.3105807213092,"nevada"
"55",22953350010497,2007,0,20,10,"Incense-cedar","Douglas-fir","Private and Native American",40,13539.6240202004,71,108,100.928571428571,NA,"nevada"
"56",22953360010497,2007,0,10,46,"Douglas-fir","Oak","Forest Service",10,12192.9088266544,56,124.333333333333,113.230769230769,124.651042323963,"nevada"
"57",22953361010497,2007,0,12,14,"True fir","Sugar pine","Private and Native American",40,4646.77761456493,66,64.7142857142857,74.25,62.545876274545,"nevada"
"79",29394789010497,2008,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,5990.73101506916,70,88.5,124.857142857143,108.169957152075,"nevada"
"80",29880301010497,2009,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2259.85042241401,122,NA,62.9090909090909,17.9386916108513,"nevada"
"81",29880386010497,2009,0,14,11,"Sugar pine","Ponderosa and Jeffrey pines","Private and Native American",40,280.987809458066,53,NA,35.6666666666667,35.6214460548563,"nevada"
"82",29880474010497,2009,0,10,14,"Douglas-fir","Sugar pine","Private and Native American",40,9133.7554975068,63,39.5,58.375,46.143428103039,"nevada"
"83",29880548010497,2009,0,14,10,"Sugar pine","Douglas-fir","Private and Native American",40,1964.62592276209,33,253,126.5,NA,"nevada"
"84",29880550010497,2009,0,12,NA,"True fir",NA,"Forest Service",10,9733.14805626977,36,151.9,116.407407407407,NA,"nevada"
"85",30762330020004,2012,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1529.90241841998,114,43,64.3,23.6532908023206,"nevada"
"86",30762331020004,2012,0,21,NA,"Lodgepole pine",NA,"Forest Service",10,1679.31755752218,80,209.4,95,NA,"nevada"
"87",30762332020004,2012,0,12,21,"True fir","Lodgepole pine","Forest Service",10,6100.87808674396,72,64.75,92.625,92.5411159576611,"nevada"
"88",30762435020004,2012,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,2196.23971725109,32,107.75,37.1818181818182,NA,"nevada"
"89",30762530020004,2012,0,46,11,"Oak","Ponderosa and Jeffrey pines","State and local government",30,1805.19505585073,132,NA,47.4,11.576257455005,"nevada"
"90",30762531020004,2012,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,6996.32023388921,143,83.6666666666667,136.6,46.3163154237801,"nevada"
"91",40224618010497,2010,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,1621.80698285674,53,112,99,NA,"nevada"
"92",40224622010497,2010,0,10,46,"Douglas-fir","Oak","Forest Service",10,7592.57577080959,67,90,116.090909090909,103.970813474206,"nevada"
"93",40224624010497,2010,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Private and Native American",40,1229.41181439885,42,162,76.75,92.1015650016678,"nevada"
"94",40224626010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,2074.16853022704,44,NA,92.1666666666667,NA,"nevada"
"95",40224629010497,2010,0,12,10,"True fir","Douglas-fir","Private and Native American",40,9591.04774219336,45,246.5,124.75,NA,"nevada"
"96",44541009020004,2013,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,4247.67465429402,73,90,110.714285714286,86.4679663968265,"nevada"
"97",44541497020004,2013,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,7683.87203270151,42,201.5,105.875,NA,"nevada"
"98",44543301020004,2013,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,8517.52304873948,83,68,126.222222222222,88.989911974471,"nevada"
"99",44543379020004,2013,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,4331.63366413167,90,94,84.6428571428571,46.3258331100086,"nevada"
"100",48202696010497,2011,0,21,15,"Lodgepole pine","Western white pine","Forest Service",10,1001.07883661429,71,238,85.5,NA,"nevada"
"101",48202704010497,2011,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,167.54667345266,63,51.5,38,30.2997734026737,"nevada"
"102",48203503010497,2011,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1032.03510573104,89,26.2,30.8333333333333,15.4221123096724,"nevada"
"103",48203590010497,2011,0,20,10,"Incense-cedar","Douglas-fir","Private and Native American",40,5593.46772862441,85,79,109.7,NA,"nevada"
"104",48204815010497,2011,0,21,12,"Lodgepole pine","True fir","Forest Service",10,9718.46913326836,83,234.090909090909,121.555555555556,NA,"nevada"
"105",48205281010497,2011,0,11,10,"Ponderosa and Jeffrey pines","Douglas-fir","Forest Service",10,13141.0473001655,72,108,138.4,127.115071755088,"nevada"
"106",48205713010497,2011,0,20,12,"Incense-cedar","True fir","Private and Native American",40,4179.3818617459,82,99.5,70.5,NA,"nevada"
"107",216958848020004,2014,0,46,20,"Oak","Incense-cedar","Forest Service",10,2828.45249125777,72,NA,52.5,28.8839889905987,"nevada"
"108",216959020020004,2014,0,46,11,"Oak","Ponderosa and Jeffrey pines","State and local government",30,600.87520306599,129,NA,48.75,12.2595432925184,"nevada"
"109",216959281020004,2014,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,1119.90427296825,59,102.5,35.9166666666667,NA,"nevada"
"110",216960326020004,2014,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1457.89401840743,95,126,117.333333333333,66.9072706656125,"nevada"
"111",216960361020004,2014,0,12,20,"True fir","Incense-cedar","State and local government",30,5384.84650257183,79,95.125,87.8235294117647,60.8098054810538,"nevada"
"112",216960477020004,2014,0,21,12,"Lodgepole pine","True fir","Private and Native American",40,4710.55721292648,60,167.2,81.1111111111111,NA,"nevada"
"113",216960585020004,2014,0,10,46,"Douglas-fir","Oak","Forest Service",10,6244.67934202628,73,46.75,67.6666666666667,45.8835418637893,"nevada"
"114",216961306020004,2014,0,46,10,"Oak","Douglas-fir","Private and Native American",40,5234.46394081428,66,NA,57.3,38.574256099325,"nevada"
"115",273640898489998,2015,0,47,11,"Other western hardwoods","Ponderosa and Jeffrey pines","Other Federal",20,3096.72647331517,76,NA,64.6,NA,"nevada"
"116",273641344489998,2015,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1602.97279563666,59,135.75,81.8,71.5769824151815,"nevada"
"117",273641512489998,2015,0,12,21,"True fir","Lodgepole pine","Forest Service",10,4613.3284024003,67,93.5,84.75,86.7826862565082,"nevada"
"118",273641790489998,2015,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Forest Service",10,2442.37375180078,68,51.6666666666667,31.6,NA,"nevada"
"119",273642570489998,2015,0,12,14,"True fir","Sugar pine","Forest Service",10,6756.08735582171,63,185.666666666667,94,NA,"nevada"
"120",273643093489998,2015,0,11,21,"Ponderosa and Jeffrey pines","Lodgepole pine","Private and Native American",40,999.902361429694,29,176.5,65.5,105.957760456925,"nevada"
"121",345933355489998,2016,0,12,20,"True fir","Incense-cedar","Forest Service",10,10325.3151312265,82,236.333333333333,168.875,NA,"nevada"
"122",345935454489998,2016,0,46,24,"Oak","Other western softwoods","Private and Native American",40,148.814740985818,119,NA,36.625,9.65144825560763,"nevada"
