"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"104",15647751010497,2010,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,489.236529131172,49,95,39.4,40.8711704537322,"plumas"
"105",22930292010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,6851.09939675886,54,139.666666666667,102.75,NA,"plumas"
"106",22930293010497,2008,0,12,10,"True fir","Douglas-fir","Forest Service",10,4040.0372435096,48,95.4,81.6,NA,"plumas"
"107",22930298010497,2008,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,15816.8780949563,58,101.6,83.8666666666667,75.7276384399235,"plumas"
"108",22930299010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,5108.9496804598,71,90.375,80.4375,57.6757944317082,"plumas"
"109",22930316010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,26454.5711116243,63,90.3333333333333,128.473684210526,NA,"plumas"
"110",22930319010497,2008,0,46,NA,"Oak",NA,"Forest Service",10,261.203946622608,57,NA,46.6666666666667,34.6961971821428,"plumas"
"111",22930320010497,2008,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Forest Service",10,6995.150752524,30,203,73.3333333333333,118.300549029036,"plumas"
"112",22930321010497,2008,0,20,14,"Incense-cedar","Sugar pine","Forest Service",10,2725.01477538086,49,118,20.5,NA,"plumas"
"113",22930322010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2319.32924386251,99,70,88.5,43.2299499523398,"plumas"
"114",22930327010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,877.23454678515,39,158,90.6666666666667,NA,"plumas"
"115",22930328010497,2008,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,1086.41892144511,74,164,56.6,37.3439247147133,"plumas"
"116",22930335010497,2008,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,1765.85897183758,42,NA,9,NA,"plumas"
"117",22930340010497,2008,0,10,12,"Douglas-fir","True fir","Forest Service",10,11031.9188634619,51,149.5,129,211.707172782703,"plumas"
"118",22930346010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,8764.09060116377,62,116.555555555556,103.451612903226,NA,"plumas"
"119",22930351010497,2008,0,12,10,"True fir","Douglas-fir","Forest Service",10,4630.03346137737,54,57,53.5454545454545,49.2883425728557,"plumas"
"120",22930352010497,2008,0,12,NA,"True fir",NA,"Forest Service",10,5586.75943918845,36,196.375,120.461538461538,NA,"plumas"
"121",22930353010497,2008,0,21,11,"Lodgepole pine","Ponderosa and Jeffrey pines","Forest Service",10,5903.96831721504,81,88,78.1851851851852,NA,"plumas"
"122",22930373010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,4509.90202580452,51,107.5,94.4285714285714,NA,"plumas"
"123",22931722010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,3855.95429590211,59,57.6,45.5833333333333,34.4950809954466,"plumas"
"124",22931723010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,3334.87205197631,54,91.25,65.1,74.8333988710915,"plumas"
"125",22931728010497,2008,0,21,11,"Lodgepole pine","Ponderosa and Jeffrey pines","Forest Service",10,7080.73572332391,105,116.8,91.75,NA,"plumas"
"126",22953297010497,2007,0,12,14,"True fir","Sugar pine","Forest Service",10,8387.24528348525,34,136.7,96.4583333333333,NA,"plumas"
"127",22953373010497,2007,0,12,20,"True fir","Incense-cedar","Private and Native American",40,13170.3252362051,77,89,104.714285714286,133.581591126107,"plumas"
"128",22953374010497,2007,0,12,NA,"True fir",NA,"Private and Native American",40,6740.24729099499,70,77.75,126.4375,NA,"plumas"
"129",22953379010497,2007,0,12,14,"True fir","Sugar pine","Forest Service",10,2715.90885696063,39,91.1666666666667,72.0833333333333,NA,"plumas"
