"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"44",22930294010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,4099.79534185641,62,NA,63.3846153846154,52.1882274348636,"tehama"
"45",22930313010497,2008,0,10,46,"Douglas-fir","Oak","Forest Service",10,5665.29526369582,57,71,120.166666666667,137.98585338505,"tehama"
"46",22930317010497,2008,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1521.66082119212,53,91,44.5,42.3017397235717,"tehama"
"47",22930339010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,6861.33649353511,52,NA,44.1052631578947,36.8033262471281,"tehama"
"48",22930365010497,2008,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3752.84545173713,68,63.5,77.625,64.5859460400646,"tehama"
"49",22930366010497,2008,0,12,20,"True fir","Incense-cedar","Private and Native American",40,5131.89726830161,42,233,87.2,NA,"tehama"
"50",22930372010497,2008,0,46,24,"Oak","Other western softwoods","Forest Service",10,234.081006508882,77,NA,33,13.6682912443746,"tehama"
"51",22930392010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,14964.899286232,57,119.5,116.555555555556,NA,"tehama"
"52",22931721010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1650.79034657717,46,99,65.75,NA,"tehama"
"53",22953289010497,2007,0,46,10,"Oak","Douglas-fir","Forest Service",10,2226.20974738946,68,NA,39.4615384615385,20.3788371119876,"tehama"
"54",22953386010497,2007,0,10,12,"Douglas-fir","True fir","Forest Service",10,3618.52962721002,59,NA,124.75,143.213014948218,"tehama"
"55",22953388010497,2007,0,10,46,"Douglas-fir","Oak","Forest Service",10,8112.32203993813,43,NA,133.25,NA,"tehama"
"56",22953393010497,2007,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,17086.3385578551,64,125,110.857142857143,NA,"tehama"
"57",22953404010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1411.23764844138,22,NA,52.3333333333333,NA,"tehama"
"58",22953409010497,2007,0,12,20,"True fir","Incense-cedar","Forest Service",10,10818.4439268336,51,86.5,98.9047619047619,NA,"tehama"
"59",22953432010497,2007,0,12,NA,"True fir",NA,"Forest Service",10,3151.87216255083,23,NA,72.25,NA,"tehama"
"60",22953439010497,2007,0,10,46,"Douglas-fir","Oak","Private and Native American",40,1155.73845449748,50,44,50.4,50.3852105711499,"tehama"
"61",22953461010497,2007,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,9675.98565433026,65,86,121.777777777778,118.298527391193,"tehama"
"93",29394808010497,2008,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,8722.70559960753,60,201.25,123.052631578947,135.225393400912,"tehama"
"94",29394810010497,2008,0,46,10,"Oak","Douglas-fir","Forest Service",10,7870.98446811078,65,NA,53.4285714285714,35.0721720916459,"tehama"
"95",29880882010497,2009,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,6912.44834604278,43,NA,40.7142857142857,44.9202018920321,"tehama"
"96",29880958010497,2009,0,10,46,"Douglas-fir","Oak","Forest Service",10,5484.39694618052,62,113.333333333333,120,122.38849040693,"tehama"
"97",29881112010497,2009,0,46,NA,"Oak",NA,"Other Federal",20,81.937610028628,106,NA,42,12.7763357374041,"tehama"
"98",29881185010497,2009,0,11,10,"Ponderosa and Jeffrey pines","Douglas-fir","Private and Native American",40,25.028132552962,71,NA,18.6666666666667,12.9772387129725,"tehama"
"99",29881193010497,2009,0,11,10,"Ponderosa and Jeffrey pines","Douglas-fir","Forest Service",10,7449.47916331378,90,132,119.666666666667,73.86059725188,"tehama"
"100",29881260010497,2009,0,12,20,"True fir","Incense-cedar","Forest Service",10,9320.16090719402,60,185.666666666667,103.4375,NA,"tehama"
"101",29881279010497,2009,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,125.90381117807,105,12.6666666666667,22.25,7.91269524843578,"tehama"
"102",29881339010497,2009,0,12,14,"True fir","Sugar pine","Forest Service",10,11141.2786100131,44,121.875,76.9583333333333,NA,"tehama"
"103",30763165020004,2012,0,12,NA,"True fir",NA,"Forest Service",10,2400.97004106586,53,65,84,NA,"tehama"
"104",30763166020004,2012,0,12,21,"True fir","Lodgepole pine","Forest Service",10,6008.76597789146,62,127.6,83.3333333333333,122.909194344779,"tehama"
"105",30763167020004,2012,0,12,14,"True fir","Sugar pine","Private and Native American",40,4791.17898650408,53,138,101.076923076923,NA,"tehama"
"106",30763169020004,2012,0,12,14,"True fir","Sugar pine","Private and Native American",40,11571.7530663307,58,125,82.2666666666667,NA,"tehama"
"107",30763171020004,2012,0,14,11,"Sugar pine","Ponderosa and Jeffrey pines","Private and Native American",40,2358.25971815965,35,80.3333333333333,46.1666666666667,62.3380309081506,"tehama"
"108",30763172020004,2012,0,46,20,"Oak","Incense-cedar","Private and Native American",40,627.162936718936,60,NA,26.6818181818182,13.920985688903,"tehama"
"109",30763175020004,2012,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,2535.19373020926,59,54.5,67.5,57.5862702885262,"tehama"
"110",30763190020004,2012,0,12,10,"True fir","Douglas-fir","Forest Service",10,11017.9647437081,42,116.8,122.538461538462,NA,"tehama"
"111",30763204020004,2012,0,11,46,"Ponderosa and Jeffrey pines","Oak","Forest Service",10,2779.02576887608,69,186,77.4444444444444,56.9400469231187,"tehama"
"112",30763205020004,2012,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3583.26428575354,53,144.333333333333,90,NA,"tehama"
"113",40218602010497,2010,0,20,14,"Incense-cedar","Sugar pine","Private and Native American",40,3948.4554782322,56,55,63,NA,"tehama"
"114",40218618010497,2010,0,46,24,"Oak","Other western softwoods","Forest Service",10,925.616024742468,74,NA,28.5555555555556,11.9222384809262,"tehama"
"115",40218626010497,2010,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,3384.95304650306,125,NA,94.3333333333333,30.9675631174694,"tehama"
"116",40218641010497,2010,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,4056.39256403432,112,87,104.25,45.1961937839444,"tehama"
"117",40218647010497,2010,0,12,10,"True fir","Douglas-fir","Forest Service",10,3810.7054992737,48,187.333333333333,105.3,NA,"tehama"
"118",40218649010497,2010,0,14,12,"Sugar pine","True fir","Private and Native American",40,7164.08803139183,60,NA,145.5,NA,"tehama"
"119",40218653010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,8909.12163716733,64,86.75,97.9230769230769,NA,"tehama"
"120",40218681010497,2010,0,12,NA,"True fir",NA,"Forest Service",10,16307.664292575,61,69.6,62.7142857142857,52.4601504752039,"tehama"
"121",44541162020004,2013,0,10,46,"Douglas-fir","Oak","Forest Service",10,4534.43446986871,34,312,108,281.147675212376,"tehama"
"122",44541186020004,2013,0,12,20,"True fir","Incense-cedar","Forest Service",10,12632.9654893634,33,227.333333333333,137.2,NA,"tehama"
"123",44541277020004,2013,0,10,46,"Douglas-fir","Oak","Private and Native American",40,4158.75673318029,52,128,97.9090909090909,105.539272184869,"tehama"
"124",44541306020004,2013,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,886.491107547686,39,57,54.3333333333333,67.7888875493833,"tehama"
"125",44542879020004,2013,0,10,12,"Douglas-fir","True fir","Private and Native American",40,5442.74266706262,52,150.333333333333,101,110.977382271472,"tehama"
"126",44542971020004,2013,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1065.47014679698,109,NA,16,4.422528708946,"tehama"
"127",44543236020004,2013,0,10,46,"Douglas-fir","Oak","Private and Native American",40,1873.02747211042,36,129,76.6666666666667,107.772623560626,"tehama"
"128",44543647020004,2013,0,46,20,"Oak","Incense-cedar","Forest Service",10,4704.44685931437,35,NA,49,108.74152867231,"tehama"
"129",48202690010497,2011,0,10,46,"Douglas-fir","Oak","Private and Native American",40,6688.05052738408,72,123,126.375,110.868420400795,"tehama"
"130",48203204010497,2011,0,12,15,"True fir","Western white pine","Forest Service",10,3337.111964977,26,425,79.2352941176471,NA,"tehama"
"131",48204836010497,2011,0,20,12,"Incense-cedar","True fir","Forest Service",10,17325.4289498219,75,157,105.631578947368,NA,"tehama"
"132",48205025010497,2011,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,4320.23175548603,28,NA,91.25,204.655567322145,"tehama"
"133",48205344010497,2011,0,20,12,"Incense-cedar","True fir","Forest Service",10,11720.665821628,67,179,106.125,NA,"tehama"
"134",48205369010497,2011,0,12,14,"True fir","Sugar pine","Private and Native American",40,926.899788050624,37,112,40.25,58.8823061762021,"tehama"
"135",48205738010497,2011,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,3783.86953259212,50,NA,38.7142857142857,39.4350553549888,"tehama"
"136",48205762010497,2011,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,6103.0040005938,63,61.5,99.6153846153846,87.4933651190208,"tehama"
"137",48205985010497,2011,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Private and Native American",40,0,49,NA,NA,NA,"tehama"
"138",216958976020004,2014,0,10,46,"Douglas-fir","Oak","Forest Service",10,5674.41185126331,48,77,81.2,88.006357654702,"tehama"
"139",216959065020004,2014,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,14117.3099825166,63,127.4,131.533333333333,137.513457134344,"tehama"
"140",216959081020004,2014,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,1654.51973569674,96,NA,65.5,26.3362194345602,"tehama"
"141",216959118020004,2014,0,46,NA,"Oak",NA,"Other Federal",20,123.46195892334,78,NA,34.5,14.250844121748,"tehama"
"142",216959239020004,2014,0,46,NA,"Oak",NA,"Private and Native American",40,425.277695999358,56,NA,25.25,14.046431295451,"tehama"
"143",216959635020004,2014,0,10,46,"Douglas-fir","Oak","Forest Service",10,4509.64828845046,66,251,131.7,137.554627988377,"tehama"
"144",216959643020004,2014,0,46,10,"Oak","Douglas-fir","Forest Service",10,2250.61362594885,60,NA,60.4444444444444,50.7192251755664,"tehama"
"145",216959914020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,14.845291800616,96,NA,17.1428571428571,5.24178836616123,"tehama"
"146",216959969020004,2014,0,46,10,"Oak","Douglas-fir","Forest Service",10,7297.4010763537,64,NA,52.8695652173913,35.3578525429546,"tehama"
"147",216960495020004,2014,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,1952.9672403929,109,NA,43.2941176470588,15.9858538178519,"tehama"
"148",216960557020004,2014,0,10,46,"Douglas-fir","Oak","Forest Service",10,5603.00909567457,44,145.25,105.7,148.762235808513,"tehama"
"149",216961001020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,374.55940285397,67,NA,28,13.0203892231808,"tehama"
"150",216961126020004,2014,0,46,NA,"Oak",NA,"Private and Native American",40,466.230896220394,65,NA,28.3636363636364,13.7195408177011,"tehama"
"151",216961286020004,2014,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,1922.31524815152,38,90.5,54.125,69.054076800312,"tehama"
"152",216961709020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1202.56186741853,57,NA,38.25,25.0350283641518,"tehama"
"153",273640208489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,5346.61395669324,44,NA,25.2,19.1462842220745,"tehama"
"154",273640215489998,2015,0,46,24,"Oak","Other western softwoods","Forest Service",10,123.507421088616,81,NA,23.5,8.59906584337952,"tehama"
"155",273640380489998,2015,0,46,NA,"Oak",NA,"Private and Native American",40,730.939086712528,73,NA,38.7777777777778,18.084489988476,"tehama"
"156",273641646489998,2015,0,47,24,"Other western hardwoods","Other western softwoods","Forest Service",10,502.085987007128,94,NA,22,NA,"tehama"
"157",273641963489998,2015,0,12,20,"True fir","Incense-cedar","Forest Service",10,15975.3707878152,33,186.666666666667,90.1111111111111,NA,"tehama"
"158",273642388489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,1693.35249594957,72,NA,45.6,23.2516685195084,"tehama"
"159",273642518489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,3181.92125607086,68,NA,67.3333333333333,49.0696500329902,"tehama"
"160",345933653489998,2016,0,46,NA,"Oak",NA,"Private and Native American",40,19.61864941862,89,NA,NA,NA,"tehama"
"161",345933870489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,5256.30857484071,53,240,146.25,315.513083788964,"tehama"
"162",345933871489998,2016,0,12,14,"True fir","Sugar pine","Private and Native American",40,7564.27242653268,52,98.75,74,NA,"tehama"
"163",345934729489998,2016,0,12,10,"True fir","Douglas-fir","Forest Service",10,2828.67244381027,75,NA,60.3333333333333,36.5283336625865,"tehama"
"164",345934957489998,2016,0,12,46,"True fir","Oak","Private and Native American",40,1148.4053337075,35,141.5,52.4,NA,"tehama"
"165",345935045489998,2016,0,46,24,"Oak","Other western softwoods","Private and Native American",40,3565.49450345777,94,NA,36.6666666666667,12.4052272177825,"tehama"
"166",345935173489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1658.11309659611,33,129,94.25,159.90550545887,"tehama"
"167",345935349489998,2016,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,4662.85037918391,163,66.6666666666667,130.666666666667,33.8974855892548,"tehama"
"168",345935546489998,2016,0,46,24,"Oak","Other western softwoods","Forest Service",10,1725.31765788496,95,NA,42.1764705882353,14.5709886395192,"tehama"
